Part No.;Designation;Material Number;Quantity;Quantity Unit;Weight;Weight Unit;Serial No.;Year;Description
100.01;Pump casing;MA-100-01;1;Piece;45.20;kg;SN-20241001;2024;Volute casing – cast iron
210.01;Impeller;MA-210-01;1;Piece;3.50;kg;SN-20241001;2024;Single-stage open impeller
230.01;Shaft;MA-230-01;1;Piece;8.20;kg;SN-20241001;2024;Pump shaft 40mm dia
321.00;Rolling bearing DE;MA-321-00;1;Piece;0.80;kg;SN-20241001;2024;Ball bearing – drive end
322.00;Rolling bearing NDE;MA-322-00;1;Piece;0.65;kg;SN-20241001;2024;Ball bearing – non-drive end
433.01;Mechanical seal;MA-433-01;1;Set;0.50;kg;SN-20241001;2024;Single mechanical seal cartridge
411.00;O-ring set;MA-411-00;1;Set;0.10;kg;SN-20241001;2024;O-ring assortment – all positions
412.00;Gasket set;MA-412-00;1;Set;0.30;kg;SN-20241001;2024;Flat gaskets – suction and discharge
502.01;Wear ring suction;MA-502-01;1;Piece;0.95;kg;SN-20241001;2024;Suction side wear ring
503.01;Wear ring pressure;MA-503-01;1;Piece;0.90;kg;SN-20241001;2024;Pressure side wear ring
611.00;Coupling insert;MA-611-00;1;Set;0.45;kg;SN-20241001;2024;Flexible coupling spider
710.00;Bolt set M12;MA-710-00;8;Piece;1.20;kg;SN-20241001;2024;Cover bolts M12×80 stainless
720.00;Deflector ring;MA-720-00;1;Piece;0.20;kg;SN-20241001;2024;Bearing housing deflector
